"Olej rzepakowy Wyborny, 5 l";http://cdn.biedronka.pl/__2019/T06B/mb/olej_rzepakowy_wyborny_5_4x2.jpg;"Cena promocyjna: 21,99 zł/but. (0,44 zł/100 ml)
Cena przy zakupie z kartą Moja Biedronka: 17,99 zł/but. (0,36 zł/100 ml)";1;/but.;17,99
"Kapsułki do prania Ariel, 35 prań, 35 szt.";http://cdn.biedronka.pl/__2019/T06B/mb/kapsulki_do_prania_ariel_4x2.jpg;"Cena promocyjna: 27,99 zł/opak. (0,80 zł/szt.)
Cena przy zakupie z kartą Moja Biedronka: 26,95 zł/opak. (0,77 zł/szt.)";1;/opak.;26,95
"Żel do prania Ariel, 40 prań, 2,2 l";http://cdn.biedronka.pl/__2019/T06B/mb/zel_do_prania_ariel_4x2.jpg;"Cena promocyjna: 23,99 zł/opak. (1,09 zł/100 ml)
Cena przy zakupie z kartą Moja Biedronka: 21,95 zł/opak. (1,00 zł/100 ml)";1;/opak.;21,95
